Event	ID	Name			Wwise Object Path	Notes
	236557166	Task_Shower_Prepare_Done			\Default Work Unit\SFX_Enviroment\Task_Shower_Prepare_Done	
	1730208058	Player_Footsteps			\Default Work Unit\SFX_Player\Player_Footsteps	
	2030257171	Task_Shower_Prepare			\Default Work Unit\SFX_Enviroment\Task_Shower_Prepare	
	2098028309	Monster_Dies			\Default Work Unit\SFX_Monster\Monster_Dies	
	2263242755	Monster_Hurt			\Default Work Unit\SFX_Monster\Monster_Hurt	
	3098834598	Task_Shower_Doing_Done			\Default Work Unit\SFX_Enviroment\Task_Shower_Doing_Done	
	3120815526	Pentagram			\Default Work Unit\SFX_Enviroment\Pentagram	
	3422627564	Monster_Attack			\Default Work Unit\SFX_Monster\Monster_Attack	
	3579061614	Monster_Idle			\Default Work Unit\SFX_Monster\Monster_Idle	
	3978245845	Pickup			\Default Work Unit\SFX_Enviroment\Pickup	
	4130175979	Task_Shower_Doing			\Default Work Unit\SFX_Enviroment\Task_Shower_Doing	

Effect plug-ins	ID	Name	Type				Notes
	484890516	Church_Small_Wood	Wwise RoomVerb			
	2995775460	Room_Small	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	48255503	Task_Shower_Prepare	D:\Github\GP4Team10\GP4Team10_WwiseProject\.cache\Windows\SFX\shower_prepare(pumpingwater)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Enviroment\Task_Shower_Prepare		2080396
	95538276	footsteps_12	D:\Github\GP4Team10\GP4Team10_WwiseProject\.cache\Windows\SFX\footsteps_12_13FC5884.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Player\Random_Player_Footsteps\footsteps_12		96380
	199305535	monster_dies	D:\Github\GP4Team10\GP4Team10_WwiseProject\.cache\Windows\SFX\monster_dies_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Monster\monster_dies		1307624
	211842005	Pentagram	D:\Github\GP4Team10\GP4Team10_WwiseProject\.cache\Windows\SFX\pentagram_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Enviroment\Pentagram		1513044
	242840410	footsteps_11	D:\Github\GP4Team10\GP4Team10_WwiseProject\.cache\Windows\SFX\footsteps_11_D4C1777C.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Player\Random_Player_Footsteps\footsteps_11		91436
	379045036	Pickup	D:\Github\GP4Team10\GP4Team10_WwiseProject\.cache\Windows\SFX\pickup_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX_Enviroment\Pickup		84400
